"Date"	"Time"	"Taxi.avail"	"Wday"	"IsWday"
2015-07-07	2015-07-07 07:43:52	50	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:35:28	25	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:40:02	19	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:45:01	21	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:50:01	23	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:55:01	17	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:00:01	26	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:05:02	17	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:10:01	20	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:15:01	24	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:20:02	31	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:25:01	27	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:30:02	25	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:35:02	26	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:40:01	28	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:45:01	37	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:50:01	25	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:55:02	30	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:00:02	37	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:05:01	27	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:10:02	26	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:15:02	37	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:20:02	25	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:25:01	26	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:30:02	24	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:35:01	36	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:40:02	29	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:45:01	33	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:50:01	36	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:55:02	35	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:00:02	44	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:05:01	39	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:10:02	41	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:15:01	44	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:20:01	39	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:25:01	45	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:30:02	41	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:35:02	59	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:40:01	64	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:45:01	51	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:50:02	58	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:55:01	56	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:00:02	55	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:05:01	59	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:10:01	65	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:15:01	70	"Tues"	"Weekday"
