"Date"	"Time"	"Taxi.avail"	"Wday"	"IsWday"
2015-07-07	2015-07-07 07:43:52	199	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:35:28	107	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:40:02	99	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:45:01	96	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:50:01	110	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:55:01	101	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:00:01	108	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:05:02	113	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:10:01	118	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:15:01	132	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:20:02	129	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:25:01	120	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:30:02	103	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:35:02	125	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:40:01	116	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:45:01	116	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:50:01	125	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:55:02	134	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:00:02	120	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:05:01	132	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:10:02	133	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:15:02	125	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:20:02	132	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:25:01	134	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:30:02	118	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:35:01	130	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:40:02	180	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:45:01	133	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:50:01	152	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:55:02	180	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:00:02	160	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:05:01	159	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:10:02	175	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:15:01	146	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:20:01	154	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:25:01	163	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:30:02	200	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:35:02	201	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:40:01	196	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:45:01	227	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:50:02	204	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:55:01	182	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:00:02	229	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:05:01	233	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:10:01	235	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:15:01	254	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:20:01	256	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:25:01	253	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:30:01	256	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:35:01	273	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:40:02	233	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:45:02	291	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:50:02	281	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:55:02	254	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:00:01	251	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:05:01	246	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:10:01	219	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:15:02	199	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:20:01	214	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:25:02	219	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:30:01	189	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:35:02	192	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:40:02	177	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:45:01	171	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:50:02	182	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:55:01	173	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:00:01	163	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:05:01	206	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:10:01	171	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:15:01	178	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:20:02	178	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:25:02	169	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:30:01	157	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:35:01	142	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:40:01	143	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:45:02	111	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:50:01	164	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:55:01	162	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:00:02	168	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:05:02	155	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:10:01	131	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:15:01	193	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:20:01	165	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:25:02	163	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:30:02	160	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:35:02	157	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:40:01	159	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:45:01	175	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:50:01	170	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:55:01	153	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:00:02	165	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:05:02	147	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:10:01	147	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:15:01	115	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:20:01	137	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:25:02	128	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:30:01	113	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:35:01	138	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:40:01	138	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:45:02	143	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:50:02	142	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:55:01	151	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:00:01	138	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:05:01	121	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:10:02	125	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:15:02	123	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:20:02	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:25:01	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:30:01	129	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:35:02	163	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:40:02	138	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:45:01	130	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:50:02	135	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:55:01	111	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:00:01	100	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:05:01	129	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:10:02	104	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:15:01	111	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:20:02	119	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:25:01	119	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:30:01	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:35:01	124	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:40:02	113	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:45:01	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:50:01	91	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:55:01	101	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:00:01	101	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:05:01	101	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:10:01	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:15:01	109	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:20:01	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:25:01	121	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:30:01	109	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:35:01	98	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:40:01	100	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:45:01	105	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:50:01	97	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:55:01	93	"Tues"	"Weekday"
2015-07-08	2015-07-08 00:00:01	83	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:05:01	90	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:10:01	103	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:15:01	96	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:20:01	96	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:25:02	100	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:30:02	91	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:35:01	93	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:40:01	93	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:45:02	92	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:50:01	89	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:55:01	94	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:00:01	89	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:05:01	83	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:10:02	78	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:15:02	86	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:20:02	97	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:25:02	90	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:30:01	97	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:35:01	93	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:40:01	95	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:45:01	91	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:50:01	102	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:55:02	104	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:00:01	91	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:05:01	95	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:10:02	99	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:15:01	99	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:20:02	108	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:25:02	85	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:30:01	116	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:35:01	106	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:40:01	100	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:45:01	63	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:50:02	102	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:55:01	108	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:00:01	104	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:05:01	117	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:10:01	127	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:15:02	107	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:20:01	126	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:25:02	125	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:30:01	109	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:35:01	115	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:40:02	120	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:45:02	109	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:50:01	126	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:55:01	100	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:00:01	133	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:05:01	136	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:10:01	145	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:15:01	143	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:20:02	147	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:25:01	144	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:30:01	207	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:35:01	159	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:40:02	145	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:45:02	151	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:50:02	165	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:55:01	141	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:00:01	166	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:05:02	156	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:10:01	155	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:15:01	140	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:20:02	131	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:25:01	138	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:30:02	137	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:35:01	137	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:40:02	123	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:45:01	150	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:50:01	130	"Wed"	"Weekday"
2015-07-08	2015-07-08 05:55:01	140	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:00:01	141	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:05:02	140	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:10:01	132	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:15:01	124	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:20:02	132	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:25:02	157	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:30:02	124	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:35:01	115	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:40:01	136	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:45:01	122	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:50:01	126	"Wed"	"Weekday"
2015-07-08	2015-07-08 06:55:02	145	"Wed"	"Weekday"
2015-07-08	2015-07-08 07:00:02	153	"Wed"	"Weekday"
2015-07-08	2015-07-08 07:05:01	135	"Wed"	"Weekday"
2015-07-08	2015-07-08 07:10:01	161	"Wed"	"Weekday"
2015-07-08	2015-07-08 07:15:01	134	"Wed"	"Weekday"
2015-07-08	2015-07-08 07:20:02	137	"Wed"	"Weekday"
