"Date"	"Time"	"Taxi.avail"	"Wday"	"IsWday"
2015-07-07	2015-07-07 07:43:52	215	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:35:28	134	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:40:02	141	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:45:01	162	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:50:01	166	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:55:01	162	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:00:01	165	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:05:02	152	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:10:01	163	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:15:01	145	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:20:02	142	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:25:01	163	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:30:02	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:35:02	153	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:40:01	176	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:45:01	186	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:50:01	199	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:55:02	186	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:00:02	201	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:05:01	199	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:10:02	205	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:15:02	194	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:20:02	225	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:25:01	186	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:30:02	195	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:35:01	194	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:40:02	208	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:45:01	222	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:50:01	216	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:55:02	233	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:00:02	235	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:05:01	243	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:10:02	241	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:15:01	198	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:20:01	236	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:25:01	227	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:30:02	244	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:35:02	238	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:40:01	240	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:45:01	238	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:50:02	266	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:55:01	265	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:00:02	259	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:05:01	303	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:10:01	288	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:15:01	270	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:20:01	258	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:25:01	256	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:30:01	253	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:35:01	273	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:40:02	264	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:45:02	289	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:50:02	269	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:55:02	284	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:00:01	266	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:05:01	279	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:10:01	262	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:15:02	252	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:20:01	295	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:25:02	264	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:30:01	246	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:35:02	228	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:40:02	241	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:45:01	228	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:50:02	232	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:55:01	226	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:00:01	240	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:05:01	250	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:10:01	241	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:15:01	239	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:20:02	228	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:25:02	241	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:30:01	228	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:35:01	206	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:40:01	248	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:45:02	237	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:50:01	233	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:55:01	227	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:00:02	229	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:05:02	236	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:10:01	205	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:15:01	214	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:20:01	237	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:25:02	239	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:30:02	213	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:35:02	250	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:40:01	236	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:45:01	277	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:50:01	222	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:55:01	230	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:00:02	207	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:05:02	232	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:10:01	222	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:15:01	193	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:20:01	249	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:25:02	198	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:30:01	209	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:35:01	204	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:40:01	218	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:45:02	212	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:50:02	218	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:55:01	207	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:00:01	190	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:05:01	191	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:10:02	190	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:15:02	182	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:20:02	172	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:25:01	171	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:30:01	188	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:35:02	159	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:40:02	159	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:45:01	163	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:50:02	154	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:55:01	177	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:00:01	186	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:05:01	159	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:10:02	140	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:15:01	144	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:20:02	159	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:25:01	161	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:30:01	141	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:35:01	149	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:40:02	128	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:45:01	127	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:50:01	123	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:55:01	128	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:00:01	142	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:05:01	134	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:10:01	163	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:15:01	159	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:20:01	149	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:25:01	166	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:30:01	168	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:35:01	175	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:40:01	168	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:45:01	158	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:50:01	157	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:55:01	158	"Tues"	"Weekday"
2015-07-08	2015-07-08 00:00:01	147	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:05:01	139	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:10:01	137	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:15:01	154	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:20:01	147	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:25:02	152	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:30:02	164	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:35:01	177	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:40:01	185	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:45:02	169	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:50:01	158	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:55:01	173	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:00:01	184	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:05:01	211	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:10:02	255	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:15:02	255	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:20:02	267	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:25:02	251	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:30:01	210	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:35:01	198	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:40:01	194	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:45:01	181	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:50:01	186	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:55:02	175	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:00:01	188	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:05:01	179	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:10:02	197	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:15:01	198	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:20:02	176	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:25:02	128	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:30:01	158	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:35:01	160	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:40:01	190	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:45:01	181	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:50:02	196	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:55:01	180	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:00:01	176	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:05:01	162	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:10:01	197	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:15:02	162	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:20:01	223	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:25:02	149	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:30:01	153	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:35:01	161	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:40:02	147	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:45:02	138	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:50:01	150	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:55:01	117	"Wed"	"Weekday"
2015-07-08	2015-07-08 04:00:01	142	"Wed"	"Weekday"
