"Date"	"Time"	"Taxi.avail"	"Wday"	"IsWday"
2015-07-07	2015-07-07 07:43:52	119	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:35:28	40	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:40:02	48	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:45:01	42	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:50:01	42	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:55:01	44	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:00:01	41	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:05:02	40	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:10:01	41	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:15:01	44	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:20:02	34	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:25:01	43	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:30:02	27	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:35:02	39	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:40:01	38	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:45:01	44	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:50:01	38	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:55:02	40	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:00:02	36	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:05:01	45	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:10:02	37	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:15:02	34	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:20:02	33	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:25:01	43	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:30:02	35	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:35:01	43	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:40:02	38	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:45:01	54	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:50:01	58	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:55:02	59	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:00:02	52	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:05:01	64	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:10:02	67	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:15:01	71	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:20:01	88	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:25:01	101	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:30:02	85	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:35:02	100	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:40:01	92	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:45:01	119	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:50:02	119	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:55:01	123	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:00:02	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:05:01	143	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:10:01	128	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:15:01	145	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:20:01	135	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:25:01	111	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:30:01	125	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:35:01	146	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:40:02	158	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:45:02	128	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:50:02	126	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:55:02	156	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:00:01	130	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:05:01	134	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:10:01	119	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:15:02	112	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:20:01	119	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:25:02	143	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:30:01	138	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:35:02	113	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:40:02	115	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:45:01	123	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:50:02	103	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:55:01	94	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:00:01	105	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:05:01	102	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:10:01	117	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:15:01	107	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:20:02	118	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:25:02	106	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:30:01	105	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:35:01	94	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:40:01	106	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:45:02	107	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:50:01	99	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:55:01	82	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:00:02	90	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:05:02	81	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:10:01	76	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:15:01	76	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:20:01	77	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:25:02	83	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:30:02	58	"Tues"	"Weekday"
