"Date"	"Time"	"Taxi.avail"	"Wday"	"IsWday"
2015-07-07	2015-07-07 07:43:52	270	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:35:28	227	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:40:02	232	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:45:01	228	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:50:01	196	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:55:01	284	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:00:01	298	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:05:02	341	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:10:01	343	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:15:01	404	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:20:02	448	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:25:01	504	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:30:02	449	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:35:02	550	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:40:01	524	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:45:01	570	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:50:01	517	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:55:02	509	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:00:02	520	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:05:01	539	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:10:02	578	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:15:02	556	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:20:02	565	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:25:01	586	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:30:02	616	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:35:01	556	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:40:02	561	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:45:01	595	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:50:01	614	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:55:02	725	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:00:02	739	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:05:01	726	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:10:02	702	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:15:01	819	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:20:01	754	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:25:01	809	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:30:02	764	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:35:02	810	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:40:01	845	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:45:01	831	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:50:02	846	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:55:01	823	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:00:02	914	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:05:01	897	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:10:01	740	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:15:01	758	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:20:01	771	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:25:01	749	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:30:01	667	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:35:01	537	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:40:02	600	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:45:02	582	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:50:02	554	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:55:02	506	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:00:01	518	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:05:01	508	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:10:01	460	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:15:02	649	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:20:01	445	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:25:02	443	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:30:01	374	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:35:02	368	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:40:02	373	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:45:01	352	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:50:02	106	"Tues"	"Weekday"
2015-07-07	2015-07-07 17:55:01	314	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:00:01	335	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:05:01	356	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:10:01	290	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:15:01	296	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:20:02	348	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:25:02	441	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:30:01	290	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:35:01	297	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:40:01	292	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:45:02	278	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:50:01	316	"Tues"	"Weekday"
2015-07-07	2015-07-07 18:55:01	312	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:00:02	259	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:05:02	279	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:10:01	235	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:15:01	291	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:20:01	292	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:25:02	300	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:30:02	390	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:35:02	310	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:40:01	312	"Tues"	"Weekday"
2015-07-07	2015-07-07 19:45:01	307	"Tues"	"Weekday"
