"Date"	"Time"	"Taxi.avail"	"Wday"	"IsWday"
2015-07-07	2015-07-07 07:43:52	157	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:35:28	116	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:40:02	110	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:45:01	113	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:50:01	103	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:55:01	122	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:00:01	129	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:05:02	134	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:10:01	138	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:15:01	118	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:20:02	97	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:25:01	118	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:30:02	115	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:35:02	115	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:40:01	104	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:45:01	103	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:50:01	112	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:55:02	119	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:00:02	124	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:05:01	140	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:10:02	131	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:15:02	126	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:20:02	118	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:25:01	114	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:30:02	113	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:35:01	109	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:40:02	105	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:45:01	118	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:50:01	102	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:55:02	112	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:00:02	106	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:05:01	94	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:10:02	104	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:15:01	109	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:20:01	93	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:25:01	96	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:30:02	103	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:35:02	110	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:40:01	106	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:45:01	106	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:50:02	106	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:55:01	78	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:00:02	74	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:05:01	70	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:10:01	72	"Tues"	"Weekday"
